dataset,subject,class,total,train,val,test,effective_sessions,time_points,channels,status
vs,S01,1,135,108,13,14,9,2048,32,ok
vs,S01,2,135,108,13,14,9,2048,32,ok
vs,S01,3,135,108,13,14,9,2048,32,ok
vs,S01,4,135,108,13,14,9,2048,32,ok
vs,S01,5,135,108,13,14,9,2048,32,ok
vs,S01,6,135,108,13,14,9,2048,32,ok
vs,S01,7,135,108,13,14,9,2048,32,ok
vs,S01,8,135,108,13,14,9,2048,32,ok
vs,S01,9,135,108,13,14,9,2048,32,ok
vs,S02,1,129,103,12,14,9,2048,32,ok
vs,S02,2,129,103,12,14,9,2048,32,ok
vs,S02,3,129,103,12,14,9,2048,32,ok
vs,S02,4,129,103,12,14,9,2048,32,ok
vs,S02,5,129,103,12,14,9,2048,32,ok
vs,S02,6,129,103,12,14,9,2048,32,ok
vs,S02,7,129,103,12,14,9,2048,32,ok
vs,S02,8,129,103,12,14,9,2048,32,ok
vs,S02,9,129,103,12,14,9,2048,32,ok
vs,S03,1,15,12,1,2,1,2048,32,ok
vs,S03,2,15,12,1,2,1,2048,32,ok
vs,S03,3,15,12,1,2,1,2048,32,ok
vs,S03,4,15,12,1,2,1,2048,32,ok
vs,S03,5,15,12,1,2,1,2048,32,ok
vs,S03,6,15,12,1,2,1,2048,32,ok
vs,S03,7,15,12,1,2,1,2048,32,ok
vs,S03,8,15,12,1,2,1,2048,32,ok
vs,S03,9,15,12,1,2,1,2048,32,ok
vs,S04,1,30,24,3,3,2,2048,32,ok
vs,S04,2,30,24,3,3,2,2048,32,ok
vs,S04,3,30,24,3,3,2,2048,32,ok
vs,S04,4,30,24,3,3,2,2048,32,ok
vs,S04,5,30,24,3,3,2,2048,32,ok
vs,S04,6,30,24,3,3,2,2048,32,ok
vs,S04,7,30,24,3,3,2,2048,32,ok
vs,S04,8,30,24,3,3,2,2048,32,ok
vs,S04,9,30,24,3,3,2,2048,32,ok
vs,S05,1,15,12,1,2,1,2048,32,ok
vs,S05,2,15,12,1,2,1,2048,32,ok
vs,S05,3,15,12,1,2,1,2048,32,ok
vs,S05,4,15,12,1,2,1,2048,32,ok
vs,S05,5,15,12,1,2,1,2048,32,ok
vs,S05,6,15,12,1,2,1,2048,32,ok
vs,S05,7,15,12,1,2,1,2048,32,ok
vs,S05,8,15,12,1,2,1,2048,32,ok
vs,S05,9,15,12,1,2,1,2048,32,ok
vs,S06,1,15,12,1,2,1,2048,32,ok
vs,S06,2,15,12,1,2,1,2048,32,ok
vs,S06,3,15,12,1,2,1,2048,32,ok
vs,S06,4,15,12,1,2,1,2048,32,ok
vs,S06,5,15,12,1,2,1,2048,32,ok
vs,S06,6,15,12,1,2,1,2048,32,ok
vs,S06,7,15,12,1,2,1,2048,32,ok
vs,S06,8,15,12,1,2,1,2048,32,ok
vs,S06,9,15,12,1,2,1,2048,32,ok
vs,S08,1,9,7,0,2,1,2048,32,ok
vs,S08,2,9,7,0,2,1,2048,32,ok
vs,S08,3,9,7,0,2,1,2048,32,ok
vs,S08,4,9,7,0,2,1,2048,32,ok
vs,S08,5,9,7,0,2,1,2048,32,ok
vs,S08,6,9,7,0,2,1,2048,32,ok
vs,S08,7,9,7,0,2,1,2048,32,ok
vs,S08,8,9,7,0,2,1,2048,32,ok
vs,S08,9,9,7,0,2,1,2048,32,ok
vs,S09,1,57,45,5,7,4,2048,32,ok
vs,S09,2,57,45,5,7,4,2048,32,ok
vs,S09,3,57,45,5,7,4,2048,32,ok
vs,S09,4,57,45,5,7,4,2048,32,ok
vs,S09,5,57,45,5,7,4,2048,32,ok
vs,S09,6,57,45,5,7,4,2048,32,ok
vs,S09,7,57,45,5,7,4,2048,32,ok
vs,S09,8,57,45,5,7,4,2048,32,ok
vs,S09,9,57,45,5,7,4,2048,32,ok
vs,S10,1,30,24,3,3,2,2048,32,ok
vs,S10,2,30,24,3,3,2,2048,32,ok
vs,S10,3,30,24,3,3,2,2048,32,ok
vs,S10,4,30,24,3,3,2,2048,32,ok
vs,S10,5,30,24,3,3,2,2048,32,ok
vs,S10,6,30,24,3,3,2,2048,32,ok
vs,S10,7,30,24,3,3,2,2048,32,ok
vs,S10,8,30,24,3,3,2,2048,32,ok
vs,S10,9,30,24,3,3,2,2048,32,ok
vs,S11,1,15,12,1,2,1,2048,32,ok
vs,S11,2,15,12,1,2,1,2048,32,ok
vs,S11,3,15,12,1,2,1,2048,32,ok
vs,S11,4,15,12,1,2,1,2048,32,ok
vs,S11,5,15,12,1,2,1,2048,32,ok
vs,S11,6,15,12,1,2,1,2048,32,ok
vs,S11,7,15,12,1,2,1,2048,32,ok
vs,S11,8,15,12,1,2,1,2048,32,ok
vs,S11,9,15,12,1,2,1,2048,32,ok
vs,S16,1,27,21,2,4,2,2048,32,ok
vs,S16,2,27,21,2,4,2,2048,32,ok
vs,S16,3,27,21,2,4,2,2048,32,ok
vs,S16,4,27,21,2,4,2,2048,32,ok
vs,S16,5,27,21,2,4,2,2048,32,ok
vs,S16,6,27,21,2,4,2,2048,32,ok
vs,S16,7,27,21,2,4,2,2048,32,ok
vs,S16,8,27,21,2,4,2,2048,32,ok
vs,S16,9,27,21,2,4,2,2048,32,ok
vs,S18,1,120,96,12,12,8,2048,32,ok
vs,S18,2,120,96,12,12,8,2048,32,ok
vs,S18,3,120,96,12,12,8,2048,32,ok
vs,S18,4,120,96,12,12,8,2048,32,ok
vs,S18,5,120,96,12,12,8,2048,32,ok
vs,S18,6,120,96,12,12,8,2048,32,ok
vs,S18,7,120,96,12,12,8,2048,32,ok
vs,S18,8,120,96,12,12,8,2048,32,ok
vs,S18,9,120,96,12,12,8,2048,32,ok
vs,S19,1,21,16,2,3,2,2048,32,ok
vs,S19,2,21,16,2,3,2,2048,32,ok
vs,S19,3,21,16,2,3,2,2048,32,ok
vs,S19,4,21,16,2,3,2,2048,32,ok
vs,S19,5,21,16,2,3,2,2048,32,ok
vs,S19,6,21,16,2,3,2,2048,32,ok
vs,S19,7,21,16,2,3,2,2048,32,ok
vs,S19,8,21,16,2,3,2,2048,32,ok
vs,S19,9,21,16,2,3,2,2048,32,ok
vs,S20,1,15,12,1,2,1,2048,32,ok
vs,S20,2,15,12,1,2,1,2048,32,ok
vs,S20,3,15,12,1,2,1,2048,32,ok
vs,S20,4,15,12,1,2,1,2048,32,ok
vs,S20,5,15,12,1,2,1,2048,32,ok
vs,S20,6,15,12,1,2,1,2048,32,ok
vs,S20,7,15,12,1,2,1,2048,32,ok
vs,S20,8,15,12,1,2,1,2048,32,ok
vs,S20,9,15,12,1,2,1,2048,32,ok
vs,S21,1,15,12,1,2,1,2048,32,ok
vs,S21,2,15,12,1,2,1,2048,32,ok
vs,S21,3,15,12,1,2,1,2048,32,ok
vs,S21,4,15,12,1,2,1,2048,32,ok
vs,S21,5,15,12,1,2,1,2048,32,ok
vs,S21,6,15,12,1,2,1,2048,32,ok
vs,S21,7,15,12,1,2,1,2048,32,ok
vs,S21,8,15,12,1,2,1,2048,32,ok
vs,S21,9,15,12,1,2,1,2048,32,ok
vs,S22,1,15,12,1,2,1,2048,32,ok
vs,S22,2,15,12,1,2,1,2048,32,ok
vs,S22,3,15,12,1,2,1,2048,32,ok
vs,S22,4,15,12,1,2,1,2048,32,ok
vs,S22,5,15,12,1,2,1,2048,32,ok
vs,S22,6,15,12,1,2,1,2048,32,ok
vs,S22,7,15,12,1,2,1,2048,32,ok
vs,S22,8,15,12,1,2,1,2048,32,ok
vs,S22,9,15,12,1,2,1,2048,32,ok
vs,S23,1,15,12,1,2,1,2048,32,ok
vs,S23,2,15,12,1,2,1,2048,32,ok
vs,S23,3,15,12,1,2,1,2048,32,ok
vs,S23,4,15,12,1,2,1,2048,32,ok
vs,S23,5,15,12,1,2,1,2048,32,ok
vs,S23,6,15,12,1,2,1,2048,32,ok
vs,S23,7,15,12,1,2,1,2048,32,ok
vs,S23,8,15,12,1,2,1,2048,32,ok
vs,S23,9,15,12,1,2,1,2048,32,ok
vs,S24,1,150,120,15,15,10,2048,32,ok
vs,S24,2,150,120,15,15,10,2048,32,ok
vs,S24,3,150,120,15,15,10,2048,32,ok
vs,S24,4,150,120,15,15,10,2048,32,ok
vs,S24,5,150,120,15,15,10,2048,32,ok
vs,S24,6,150,120,15,15,10,2048,32,ok
vs,S24,7,150,120,15,15,10,2048,32,ok
vs,S24,8,150,120,15,15,10,2048,32,ok
vs,S24,9,150,120,15,15,10,2048,32,ok
vs,S28,1,87,69,8,10,6,2048,32,ok
vs,S28,2,87,69,8,10,6,2048,32,ok
vs,S28,3,87,69,8,10,6,2048,32,ok
vs,S28,4,87,69,8,10,6,2048,32,ok
vs,S28,5,87,69,8,10,6,2048,32,ok
vs,S28,6,87,69,8,10,6,2048,32,ok
vs,S28,7,87,69,8,10,6,2048,32,ok
vs,S28,8,87,69,8,10,6,2048,32,ok
vs,S28,9,87,69,8,10,6,2048,32,ok
vs,S29,1,75,60,7,8,5,2048,32,ok
vs,S29,2,75,60,7,8,5,2048,32,ok
vs,S29,3,75,60,7,8,5,2048,32,ok
vs,S29,4,75,60,7,8,5,2048,32,ok
vs,S29,5,75,60,7,8,5,2048,32,ok
vs,S29,6,75,60,7,8,5,2048,32,ok
vs,S29,7,75,60,7,8,5,2048,32,ok
vs,S29,8,75,60,7,8,5,2048,32,ok
vs,S29,9,75,60,7,8,5,2048,32,ok
