dataset,subject,n_classes_nonzero,min_total_per_class,max_total_per_class,min_test_per_class,total_trials,balanced_9class,status
vi,S01,9,60,60,6,540,1,ok
vi,S02,9,60,60,6,540,1,ok
vi,S03,9,60,60,6,540,1,ok
vi,S04,9,60,60,6,540,1,ok
vi,S05,9,60,60,6,540,1,ok
vi,S06,9,60,60,6,540,1,ok
vi,S07,9,60,60,6,540,1,ok
vi,S08,9,60,60,6,540,1,ok
vi,S09,9,60,60,6,540,1,ok
vi,S10,9,60,60,6,540,1,ok
vi,S11,9,60,60,6,540,1,ok
vi,S12,9,60,60,6,540,1,ok
vi,S13,9,60,60,6,540,1,ok
vi,S14,9,60,60,6,540,1,ok
vi,S15,9,60,60,6,540,1,ok
vi,S16,9,60,60,6,540,1,ok
vi,S17,9,60,60,6,540,1,ok
vi,S18,9,60,60,6,540,1,ok
vi,S19,9,60,60,6,540,1,ok
vi,S20,9,60,60,6,540,1,ok
vi,S21,9,60,60,6,540,1,ok
vi,S22,9,60,60,6,540,1,ok
vi,S23,9,60,60,6,540,1,ok
vi,S24,9,60,60,6,540,1,ok
vi,S25,9,60,60,6,540,1,ok
vi,S26,9,60,60,6,540,1,ok
vi,S27,9,60,60,6,540,1,ok
vi,S28,9,60,60,6,540,1,ok
vi,S29,9,60,60,6,540,1,ok
vi,S30,9,60,60,6,540,1,ok
vi,S31,9,60,60,6,540,1,ok
vi,S32,9,60,60,6,540,1,ok
vi,S33,9,60,60,6,540,1,ok
vi,S34,9,60,60,6,540,1,ok
vs,S01,9,135,135,14,1215,1,ok
vs,S02,9,129,129,14,1161,1,ok
vs,S03,9,15,15,2,135,1,ok
vs,S04,9,30,30,3,270,1,ok
vs,S05,9,15,15,2,135,1,ok
vs,S06,9,15,15,2,135,1,ok
vs,S08,9,9,9,2,81,1,ok
vs,S09,9,57,57,7,513,1,ok
vs,S10,9,30,30,3,270,1,ok
vs,S11,9,15,15,2,135,1,ok
vs,S16,9,27,27,4,243,1,ok
vs,S18,9,120,120,12,1080,1,ok
vs,S19,9,21,21,3,189,1,ok
vs,S20,9,15,15,2,135,1,ok
vs,S21,9,15,15,2,135,1,ok
vs,S22,9,15,15,2,135,1,ok
vs,S23,9,15,15,2,135,1,ok
vs,S24,9,150,150,15,1350,1,ok
vs,S28,9,87,87,10,783,1,ok
vs,S29,9,75,75,8,675,1,ok
vs,S35,9,33,33,4,297,1,ok
