subject,A_g1,A_g2,A_g3,A_avg,B_g1,B_g2,B_g3,B_avg,winner
S01,0.3333,0.0833,0.3333,0.25,0.6667,0.4167,0.3333,0.4722,B
S02,0.25,0.25,0.4167,0.3056,0.5833,0.0833,0.3333,0.3333,B
S03,0.3333,0.3333,0.25,0.3055,0.4167,0.0833,0.4167,0.3056,B
S04,0.1667,0.25,0.5,0.3056,0.6667,0.4167,0.3333,0.4722,B
S05,0.3333,0.3333,0.4167,0.3611,0.6667,0.3333,0.3333,0.4444,B
S06,0.3333,0.4167,0.5,0.4167,0.5,0.4167,0.25,0.3889,A
S07,0.75,0.3333,0.5833,0.5555,0.6667,0.4167,0.5833,0.5556,B
S08,0.5,0.25,0.25,0.3333,0.5,0.4167,0.3333,0.4167,B
S09,0.3333,0.5,0.4167,0.4167,0.6667,0.5,0.4167,0.5278,B
S10,0.3333,0.25,0.5,0.3611,0.4167,0.5,0.4167,0.4445,B
S11,0.3333,0.4167,0.3333,0.3611,0.6667,0.5833,0.3333,0.5278,B
S12,0.5833,0.5833,0.5833,0.5833,0.6667,0.5,0.4167,0.5278,A
S13,0.1667,0.1667,0.1667,0.1667,0.4167,0.5,0.3333,0.4167,B
S14,0.5833,0.3333,0.3333,0.4166,0.5833,0.3333,0.3333,0.4166,tie
S15,0.5,0.3333,0.3333,0.3889,0.5833,0.25,0.3333,0.3889,tie
S16,0.3333,0.3333,0.5833,0.4166,0.5,0.1667,0.3333,0.3333,A
S17,0.4167,0.3333,0.25,0.3333,0.5833,0.3333,0.3333,0.4166,B
S18,0.1667,0.3333,0.5,0.3333,0.5,0.1667,0.3333,0.3333,tie
S19,0.5,0.3333,0.4167,0.4167,0.5833,0.1667,0.3333,0.3611,A
S20,0.1667,0.4167,0.25,0.2778,0.6667,0.3333,0.3333,0.4444,B
Mean,0.3708,0.3292,0.3958,0.3653,0.575,0.3458,0.3583,0.4264,B
