subject_id,group_id,gen_path,gt_path,ssim,lpips
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial002_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial002_label1_GT.png,0.363851,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial006_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial006_label1_GT.png,0.598625,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial019_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial019_label1_GT.png,0.443324,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial023_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial023_label1_GT.png,0.374451,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial024_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial024_label1_GT.png,0.319948,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial033_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial033_label1_GT.png,0.380356,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial061_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial061_label2_GT.png,0.207470,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial071_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial071_label2_GT.png,0.552720,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial073_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial073_label2_GT.png,0.535398,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial086_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial086_label2_GT.png,0.526512,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial087_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_094151_subj14_g1_cls1-3_128\subj14_g1_trial087_label2_GT.png,0.491081,
